Tên nhà cung cấp (*),Số điện thoại (*),Mã số thuế,Email,Địa chỉ,Số dư nợ đầu kỳ (VNĐ),Ghi chú
Tổng Kho Đại lý Hải Đăng - CN 09667,0820009667,0100009667,ncc09667@hảiđăng.vn,"Số 777 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Nhà phân phối Hàng tiêu dùng Á Châu - CN 09668,0820009668,0100009668,ncc09668@áchâu.vn,"Số 778 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Doanh nghiệp Tư nhân Hoàng Kim - CN 09669,0820009669,0100009669,ncc09669@hoàngkim.vn,"Số 779 Điện Biên Phủ, Thái Nguyên",45000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Công ty TNHH Thực phẩm Thành Đạt - CN 09670,0820009670,0100009670,ncc09670@thànhđạt.vn,"Số 780 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Công ty Cổ phần Đầu tư Bán lẻ Thiên Phú - CN 09671,0820009671,0100009671,ncc09671@thiênphú.vn,"Số 781 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Đại lý Phân phối Cấp 1 Thái Bình Dương - CN 09672,0820009672,0100009672,ncc09672@tháibìnhdương.vn,"Số 782 Cách Mạng Tháng 8, Nghệ An",10000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Công ty TNHH Phân phối Nam Việt - CN 09673,0820009673,0100009673,ncc09673@namviệt.vn,"Số 783 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Công ty Cổ phần Thương mại Đông Dương - CN 09674,0820009674,0100009674,ncc09674@đôngdương.vn,"Số 784 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Tổng Kho Đại lý Gia Phát - CN 09675,0820009675,0100009675,ncc09675@giaphát.vn,"Số 785 Bạch Đằng, Lâm Đồng",25000000,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Nhà phân phối Hàng tiêu dùng Tân Tiến - CN 09676,0820009676,0100009676,ncc09676@tântiến.vn,"Số 786 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Doanh nghiệp Tư nhân Đức Trí - CN 09677,0820009677,0100009677,ncc09677@đứctrí.vn,"Số 787 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Công ty TNHH Thực phẩm An Bình - CN 09678,0820009678,0100009678,ncc09678@anbình.vn,"Số 788 Trần Hưng Đạo, Đà Nẵng",40000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Công ty Cổ phần Đầu tư Bán lẻ Khang Thịnh - CN 09679,0820009679,0100009679,ncc09679@khangthịnh.vn,"Số 789 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Đại lý Phân phối Cấp 1 Thịnh Vượng - CN 09680,0820009680,0100009680,ncc09680@thịnhvượng.vn,"Số 790 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Công ty TNHH Phân phối Việt Phát - CN 09681,0820009681,0100009681,ncc09681@việtphát.vn,"Số 791 Giải Phóng, Bình Dương",5000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Công ty Cổ phần Thương mại Hưng Thịnh - CN 09682,0820009682,0100009682,ncc09682@hưngthịnh.vn,"Số 792 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Tổng Kho Đại lý Toàn Thắng - CN 09683,0820009683,0100009683,ncc09683@toànthắng.vn,"Số 793 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Nhà phân phối Hàng tiêu dùng Phúc Lộc - CN 09684,0820009684,0100009684,ncc09684@phúclộc.vn,"Số 794 Điện Biên Phủ, Thái Nguyên",20000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Doanh nghiệp Tư nhân Minh Châu - CN 09685,0820009685,0100009685,ncc09685@minhchâu.vn,"Số 795 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Công ty TNHH Thực phẩm Đại Nam - CN 09686,0820009686,0100009686,ncc09686@đạinam.vn,"Số 796 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Công ty Cổ phần Đầu tư Bán lẻ Hải Đăng - CN 09687,0820009687,0100009687,ncc09687@hảiđăng.vn,"Số 797 Cách Mạng Tháng 8, Nghệ An",35000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Đại lý Phân phối Cấp 1 Á Châu - CN 09688,0820009688,0100009688,ncc09688@áchâu.vn,"Số 798 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Công ty TNHH Phân phối Hoàng Kim - CN 09689,0820009689,0100009689,ncc09689@hoàngkim.vn,"Số 799 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Công ty Cổ phần Thương mại Thành Đạt - CN 09690,0820009690,0100009690,ncc09690@thànhđạt.vn,"Số 800 Bạch Đằng, Lâm Đồng",0,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Tổng Kho Đại lý Thiên Phú - CN 09691,0820009691,0100009691,ncc09691@thiênphú.vn,"Số 801 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Nhà phân phối Hàng tiêu dùng Thái Bình Dương - CN 09692,0820009692,0100009692,ncc09692@tháibìnhdương.vn,"Số 802 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Doanh nghiệp Tư nhân Nam Việt - CN 09693,0820009693,0100009693,ncc09693@namviệt.vn,"Số 803 Trần Hưng Đạo, Đà Nẵng",15000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Công ty TNHH Thực phẩm Đông Dương - CN 09694,0820009694,0100009694,ncc09694@đôngdương.vn,"Số 804 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Công ty Cổ phần Đầu tư Bán lẻ Gia Phát - CN 09695,0820009695,0100009695,ncc09695@giaphát.vn,"Số 805 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Đại lý Phân phối Cấp 1 Tân Tiến - CN 09696,0820009696,0100009696,ncc09696@tântiến.vn,"Số 806 Giải Phóng, Bình Dương",30000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Công ty TNHH Phân phối Đức Trí - CN 09697,0820009697,0100009697,ncc09697@đứctrí.vn,"Số 807 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Công ty Cổ phần Thương mại An Bình - CN 09698,0820009698,0100009698,ncc09698@anbình.vn,"Số 808 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Tổng Kho Đại lý Khang Thịnh - CN 09699,0820009699,0100009699,ncc09699@khangthịnh.vn,"Số 809 Điện Biên Phủ, Thái Nguyên",45000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Nhà phân phối Hàng tiêu dùng Thịnh Vượng - CN 09700,0820009700,0100009700,ncc09700@thịnhvượng.vn,"Số 810 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Doanh nghiệp Tư nhân Việt Phát - CN 09701,0820009701,0100009701,ncc09701@việtphát.vn,"Số 811 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Công ty TNHH Thực phẩm Hưng Thịnh - CN 09702,0820009702,0100009702,ncc09702@hưngthịnh.vn,"Số 812 Cách Mạng Tháng 8, Nghệ An",10000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Công ty Cổ phần Đầu tư Bán lẻ Toàn Thắng - CN 09703,0820009703,0100009703,ncc09703@toànthắng.vn,"Số 813 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Đại lý Phân phối Cấp 1 Phúc Lộc - CN 09704,0820009704,0100009704,ncc09704@phúclộc.vn,"Số 814 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Công ty TNHH Phân phối Minh Châu - CN 09705,0820009705,0100009705,ncc09705@minhchâu.vn,"Số 815 Bạch Đằng, Lâm Đồng",25000000,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Công ty Cổ phần Thương mại Đại Nam - CN 09706,0820009706,0100009706,ncc09706@đạinam.vn,"Số 816 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Tổng Kho Đại lý Hải Đăng - CN 09707,0820009707,0100009707,ncc09707@hảiđăng.vn,"Số 817 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Nhà phân phối Hàng tiêu dùng Á Châu - CN 09708,0820009708,0100009708,ncc09708@áchâu.vn,"Số 818 Trần Hưng Đạo, Đà Nẵng",40000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Doanh nghiệp Tư nhân Hoàng Kim - CN 09709,0820009709,0100009709,ncc09709@hoàngkim.vn,"Số 819 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Công ty TNHH Thực phẩm Thành Đạt - CN 09710,0820009710,0100009710,ncc09710@thànhđạt.vn,"Số 820 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Công ty Cổ phần Đầu tư Bán lẻ Thiên Phú - CN 09711,0820009711,0100009711,ncc09711@thiênphú.vn,"Số 821 Giải Phóng, Bình Dương",5000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Đại lý Phân phối Cấp 1 Thái Bình Dương - CN 09712,0820009712,0100009712,ncc09712@tháibìnhdương.vn,"Số 822 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Công ty TNHH Phân phối Nam Việt - CN 09713,0820009713,0100009713,ncc09713@namviệt.vn,"Số 823 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Công ty Cổ phần Thương mại Đông Dương - CN 09714,0820009714,0100009714,ncc09714@đôngdương.vn,"Số 824 Điện Biên Phủ, Thái Nguyên",20000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Tổng Kho Đại lý Gia Phát - CN 09715,0820009715,0100009715,ncc09715@giaphát.vn,"Số 825 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Nhà phân phối Hàng tiêu dùng Tân Tiến - CN 09716,0820009716,0100009716,ncc09716@tântiến.vn,"Số 826 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Doanh nghiệp Tư nhân Đức Trí - CN 09717,0820009717,0100009717,ncc09717@đứctrí.vn,"Số 827 Cách Mạng Tháng 8, Nghệ An",35000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Công ty TNHH Thực phẩm An Bình - CN 09718,0820009718,0100009718,ncc09718@anbình.vn,"Số 828 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Công ty Cổ phần Đầu tư Bán lẻ Khang Thịnh - CN 09719,0820009719,0100009719,ncc09719@khangthịnh.vn,"Số 829 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Đại lý Phân phối Cấp 1 Thịnh Vượng - CN 09720,0820009720,0100009720,ncc09720@thịnhvượng.vn,"Số 830 Bạch Đằng, Lâm Đồng",0,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Công ty TNHH Phân phối Việt Phát - CN 09721,0820009721,0100009721,ncc09721@việtphát.vn,"Số 831 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Công ty Cổ phần Thương mại Hưng Thịnh - CN 09722,0820009722,0100009722,ncc09722@hưngthịnh.vn,"Số 832 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Tổng Kho Đại lý Toàn Thắng - CN 09723,0820009723,0100009723,ncc09723@toànthắng.vn,"Số 833 Trần Hưng Đạo, Đà Nẵng",15000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Nhà phân phối Hàng tiêu dùng Phúc Lộc - CN 09724,0820009724,0100009724,ncc09724@phúclộc.vn,"Số 834 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Doanh nghiệp Tư nhân Minh Châu - CN 09725,0820009725,0100009725,ncc09725@minhchâu.vn,"Số 835 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Công ty TNHH Thực phẩm Đại Nam - CN 09726,0820009726,0100009726,ncc09726@đạinam.vn,"Số 836 Giải Phóng, Bình Dương",30000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Công ty Cổ phần Đầu tư Bán lẻ Hải Đăng - CN 09727,0820009727,0100009727,ncc09727@hảiđăng.vn,"Số 837 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Đại lý Phân phối Cấp 1 Á Châu - CN 09728,0820009728,0100009728,ncc09728@áchâu.vn,"Số 838 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Công ty TNHH Phân phối Hoàng Kim - CN 09729,0820009729,0100009729,ncc09729@hoàngkim.vn,"Số 839 Điện Biên Phủ, Thái Nguyên",45000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Công ty Cổ phần Thương mại Thành Đạt - CN 09730,0820009730,0100009730,ncc09730@thànhđạt.vn,"Số 840 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Tổng Kho Đại lý Thiên Phú - CN 09731,0820009731,0100009731,ncc09731@thiênphú.vn,"Số 841 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Nhà phân phối Hàng tiêu dùng Thái Bình Dương - CN 09732,0820009732,0100009732,ncc09732@tháibìnhdương.vn,"Số 842 Cách Mạng Tháng 8, Nghệ An",10000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Doanh nghiệp Tư nhân Nam Việt - CN 09733,0820009733,0100009733,ncc09733@namviệt.vn,"Số 843 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Công ty TNHH Thực phẩm Đông Dương - CN 09734,0820009734,0100009734,ncc09734@đôngdương.vn,"Số 844 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Công ty Cổ phần Đầu tư Bán lẻ Gia Phát - CN 09735,0820009735,0100009735,ncc09735@giaphát.vn,"Số 845 Bạch Đằng, Lâm Đồng",25000000,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Đại lý Phân phối Cấp 1 Tân Tiến - CN 09736,0820009736,0100009736,ncc09736@tântiến.vn,"Số 846 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Công ty TNHH Phân phối Đức Trí - CN 09737,0820009737,0100009737,ncc09737@đứctrí.vn,"Số 847 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Công ty Cổ phần Thương mại An Bình - CN 09738,0820009738,0100009738,ncc09738@anbình.vn,"Số 848 Trần Hưng Đạo, Đà Nẵng",40000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Tổng Kho Đại lý Khang Thịnh - CN 09739,0820009739,0100009739,ncc09739@khangthịnh.vn,"Số 849 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Nhà phân phối Hàng tiêu dùng Thịnh Vượng - CN 09740,0820009740,0100009740,ncc09740@thịnhvượng.vn,"Số 850 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Doanh nghiệp Tư nhân Việt Phát - CN 09741,0820009741,0100009741,ncc09741@việtphát.vn,"Số 851 Giải Phóng, Bình Dương",5000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Công ty TNHH Thực phẩm Hưng Thịnh - CN 09742,0820009742,0100009742,ncc09742@hưngthịnh.vn,"Số 852 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Công ty Cổ phần Đầu tư Bán lẻ Toàn Thắng - CN 09743,0820009743,0100009743,ncc09743@toànthắng.vn,"Số 853 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Đại lý Phân phối Cấp 1 Phúc Lộc - CN 09744,0820009744,0100009744,ncc09744@phúclộc.vn,"Số 854 Điện Biên Phủ, Thái Nguyên",20000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Công ty TNHH Phân phối Minh Châu - CN 09745,0820009745,0100009745,ncc09745@minhchâu.vn,"Số 855 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Công ty Cổ phần Thương mại Đại Nam - CN 09746,0820009746,0100009746,ncc09746@đạinam.vn,"Số 856 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Tổng Kho Đại lý Hải Đăng - CN 09747,0820009747,0100009747,ncc09747@hảiđăng.vn,"Số 857 Cách Mạng Tháng 8, Nghệ An",35000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Nhà phân phối Hàng tiêu dùng Á Châu - CN 09748,0820009748,0100009748,ncc09748@áchâu.vn,"Số 858 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Doanh nghiệp Tư nhân Hoàng Kim - CN 09749,0820009749,0100009749,ncc09749@hoàngkim.vn,"Số 859 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Công ty TNHH Thực phẩm Thành Đạt - CN 09750,0820009750,0100009750,ncc09750@thànhđạt.vn,"Số 860 Bạch Đằng, Lâm Đồng",0,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Công ty Cổ phần Đầu tư Bán lẻ Thiên Phú - CN 09751,0820009751,0100009751,ncc09751@thiênphú.vn,"Số 861 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Đại lý Phân phối Cấp 1 Thái Bình Dương - CN 09752,0820009752,0100009752,ncc09752@tháibìnhdương.vn,"Số 862 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Công ty TNHH Phân phối Nam Việt - CN 09753,0820009753,0100009753,ncc09753@namviệt.vn,"Số 863 Trần Hưng Đạo, Đà Nẵng",15000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Công ty Cổ phần Thương mại Đông Dương - CN 09754,0820009754,0100009754,ncc09754@đôngdương.vn,"Số 864 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Tổng Kho Đại lý Gia Phát - CN 09755,0820009755,0100009755,ncc09755@giaphát.vn,"Số 865 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Nhà phân phối Hàng tiêu dùng Tân Tiến - CN 09756,0820009756,0100009756,ncc09756@tântiến.vn,"Số 866 Giải Phóng, Bình Dương",30000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Doanh nghiệp Tư nhân Đức Trí - CN 09757,0820009757,0100009757,ncc09757@đứctrí.vn,"Số 867 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Công ty TNHH Thực phẩm An Bình - CN 09758,0820009758,0100009758,ncc09758@anbình.vn,"Số 868 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Công ty Cổ phần Đầu tư Bán lẻ Khang Thịnh - CN 09759,0820009759,0100009759,ncc09759@khangthịnh.vn,"Số 869 Điện Biên Phủ, Thái Nguyên",45000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Đại lý Phân phối Cấp 1 Thịnh Vượng - CN 09760,0820009760,0100009760,ncc09760@thịnhvượng.vn,"Số 870 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Công ty TNHH Phân phối Việt Phát - CN 09761,0820009761,0100009761,ncc09761@việtphát.vn,"Số 871 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Công ty Cổ phần Thương mại Hưng Thịnh - CN 09762,0820009762,0100009762,ncc09762@hưngthịnh.vn,"Số 872 Cách Mạng Tháng 8, Nghệ An",10000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Tổng Kho Đại lý Toàn Thắng - CN 09763,0820009763,0100009763,ncc09763@toànthắng.vn,"Số 873 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Nhà phân phối Hàng tiêu dùng Phúc Lộc - CN 09764,0820009764,0100009764,ncc09764@phúclộc.vn,"Số 874 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Doanh nghiệp Tư nhân Minh Châu - CN 09765,0820009765,0100009765,ncc09765@minhchâu.vn,"Số 875 Bạch Đằng, Lâm Đồng",25000000,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Công ty TNHH Thực phẩm Đại Nam - CN 09766,0820009766,0100009766,ncc09766@đạinam.vn,"Số 876 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Công ty Cổ phần Đầu tư Bán lẻ Hải Đăng - CN 09767,0820009767,0100009767,ncc09767@hảiđăng.vn,"Số 877 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Đại lý Phân phối Cấp 1 Á Châu - CN 09768,0820009768,0100009768,ncc09768@áchâu.vn,"Số 878 Trần Hưng Đạo, Đà Nẵng",40000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Công ty TNHH Phân phối Hoàng Kim - CN 09769,0820009769,0100009769,ncc09769@hoàngkim.vn,"Số 879 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Công ty Cổ phần Thương mại Thành Đạt - CN 09770,0820009770,0100009770,ncc09770@thànhđạt.vn,"Số 880 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Tổng Kho Đại lý Thiên Phú - CN 09771,0820009771,0100009771,ncc09771@thiênphú.vn,"Số 881 Giải Phóng, Bình Dương",5000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Nhà phân phối Hàng tiêu dùng Thái Bình Dương - CN 09772,0820009772,0100009772,ncc09772@tháibìnhdương.vn,"Số 882 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Doanh nghiệp Tư nhân Nam Việt - CN 09773,0820009773,0100009773,ncc09773@namviệt.vn,"Số 883 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Công ty TNHH Thực phẩm Đông Dương - CN 09774,0820009774,0100009774,ncc09774@đôngdương.vn,"Số 884 Điện Biên Phủ, Thái Nguyên",20000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Công ty Cổ phần Đầu tư Bán lẻ Gia Phát - CN 09775,0820009775,0100009775,ncc09775@giaphát.vn,"Số 885 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Đại lý Phân phối Cấp 1 Tân Tiến - CN 09776,0820009776,0100009776,ncc09776@tântiến.vn,"Số 886 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Công ty TNHH Phân phối Đức Trí - CN 09777,0820009777,0100009777,ncc09777@đứctrí.vn,"Số 887 Cách Mạng Tháng 8, Nghệ An",35000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Công ty Cổ phần Thương mại An Bình - CN 09778,0820009778,0100009778,ncc09778@anbình.vn,"Số 888 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Tổng Kho Đại lý Khang Thịnh - CN 09779,0820009779,0100009779,ncc09779@khangthịnh.vn,"Số 889 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Nhà phân phối Hàng tiêu dùng Thịnh Vượng - CN 09780,0820009780,0100009780,ncc09780@thịnhvượng.vn,"Số 890 Bạch Đằng, Lâm Đồng",0,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Doanh nghiệp Tư nhân Việt Phát - CN 09781,0820009781,0100009781,ncc09781@việtphát.vn,"Số 891 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Công ty TNHH Thực phẩm Hưng Thịnh - CN 09782,0820009782,0100009782,ncc09782@hưngthịnh.vn,"Số 892 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Công ty Cổ phần Đầu tư Bán lẻ Toàn Thắng - CN 09783,0820009783,0100009783,ncc09783@toànthắng.vn,"Số 893 Trần Hưng Đạo, Đà Nẵng",15000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Đại lý Phân phối Cấp 1 Phúc Lộc - CN 09784,0820009784,0100009784,ncc09784@phúclộc.vn,"Số 894 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Công ty TNHH Phân phối Minh Châu - CN 09785,0820009785,0100009785,ncc09785@minhchâu.vn,"Số 895 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Công ty Cổ phần Thương mại Đại Nam - CN 09786,0820009786,0100009786,ncc09786@đạinam.vn,"Số 896 Giải Phóng, Bình Dương",30000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Tổng Kho Đại lý Hải Đăng - CN 09787,0820009787,0100009787,ncc09787@hảiđăng.vn,"Số 897 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Nhà phân phối Hàng tiêu dùng Á Châu - CN 09788,0820009788,0100009788,ncc09788@áchâu.vn,"Số 898 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Doanh nghiệp Tư nhân Hoàng Kim - CN 09789,0820009789,0100009789,ncc09789@hoàngkim.vn,"Số 899 Điện Biên Phủ, Thái Nguyên",45000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Công ty TNHH Thực phẩm Thành Đạt - CN 09790,0820009790,0100009790,ncc09790@thànhđạt.vn,"Số 10 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Công ty Cổ phần Đầu tư Bán lẻ Thiên Phú - CN 09791,0820009791,0100009791,ncc09791@thiênphú.vn,"Số 11 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
